X_cm,Y_cm,Temperature_C
0.0,0,32.834
0.16666666666666666,0,32.215
0.3333333333333333,0,32.215
0.5,0,32.078
0.6666666666666666,0,31.974
0.8333333333333333,0,31.974
1.0,0,32.009
1.1666666666666665,0,31.698
1.3333333333333333,0,31.283
1.5,0,31.387
1.6666666666666665,0,31.422
1.8333333333333333,0,31.075
2.0,0,29.119
2.1666666666666665,0,26.812
2.333333333333333,0,26.023
2.5,0,25.59
2.6666666666666665,0,25.771
2.833333333333333,0,26.095
3.0,0,25.011
3.1666666666666665,0,24.211
3.333333333333333,0,23.882
3.5,0,23.663
3.6666666666666665,0,23.553
3.833333333333333,0,23.075
4.0,0,23.222
4.166666666666666,0,23.846
4.333333333333333,0,23.443
4.5,0,23.222
4.666666666666666,0,23.332
4.833333333333333,0,23.443
0.0,0,78.109
0.16666666666666666,0,77.322
0.3333333333333333,0,73.128
0.5,0,66.017
0.6666666666666666,0,56.216
0.8333333333333333,0,44.931
1.0,0,35.01
1.1666666666666665,0,28.13
1.3333333333333333,0,23.882
1.5,0,22.854
1.6666666666666665,0,22.041
1.8333333333333333,0,22.596
2.0,0,21.632
2.1666666666666665,0,21.669
2.333333333333333,0,21.222
2.5,0,21.334
2.6666666666666665,0,21.855
2.833333333333333,0,21.595
3.0,0,21.669
3.1666666666666665,0,21.446
3.333333333333333,0,21.818
3.5,0,21.929
3.6666666666666665,0,22.189
3.833333333333333,0,22.041
4.0,0,21.595
4.166666666666666,0,21.855
4.333333333333333,0,22.041
4.5,0,21.409
4.666666666666666,0,21.669
4.833333333333333,0,21.52
0.0,0,85.681
0.16666666666666666,0,84.037
0.3333333333333333,0,78.657
0.5,0,69.442
0.6666666666666666,0,57.654
0.8333333333333333,0,45.373
1.0,0,35.01
1.1666666666666665,0,27.668
1.3333333333333333,0,23.736
1.5,0,22.67
1.6666666666666665,0,21.966
1.8333333333333333,0,22.596
2.0,0,21.818
2.1666666666666665,0,21.818
2.333333333333333,0,21.334
2.5,0,21.222
2.6666666666666665,0,21.892
2.833333333333333,0,21.818
3.0,0,22.041
3.1666666666666665,0,21.744
3.333333333333333,0,22.115
3.5,0,22.115
3.6666666666666665,0,22.152
3.833333333333333,0,21.929
4.0,0,21.595
4.166666666666666,0,21.929
4.333333333333333,0,22.152
4.5,0,21.483
4.666666666666666,0,21.855
4.833333333333333,0,21.558
0.0,0,103.866
0.16666666666666666,0,101.558
0.3333333333333333,0,94.2
0.5,0,82.456
0.6666666666666666,0,67.738
0.8333333333333333,0,52.911
1.0,0,40.215
1.1666666666666665,0,30.936
1.3333333333333333,0,25.518
1.5,0,23.222
1.6666666666666665,0,22.374
1.8333333333333333,0,22.596
2.0,0,22.004
2.1666666666666665,0,21.744
2.333333333333333,0,21.259
2.5,0,21.334
2.6666666666666665,0,21.855
2.833333333333333,0,21.706
3.0,0,22.189
3.1666666666666665,0,21.744
3.333333333333333,0,21.818
3.5,0,21.892
3.6666666666666665,0,22.189
3.833333333333333,0,21.744
4.0,0,21.446
4.166666666666666,0,21.929
4.333333333333333,0,22.004
4.5,0,21.409
4.666666666666666,0,21.558
4.833333333333333,0,21.483
0.0,0,45.467
0.16666666666666666,0,44.994
0.3333333333333333,0,42.704
0.5,0,39.628
0.6666666666666666,0,35.212
0.8333333333333333,0,30.275
1.0,0,25.915
1.1666666666666665,0,23.443
1.3333333333333333,0,22.189
1.5,0,22.078
1.6666666666666665,0,21.929
1.8333333333333333,0,22.115
2.0,0,21.446
2.1666666666666665,0,21.632
2.333333333333333,0,21.185
2.5,0,21.259
2.6666666666666665,0,21.744
2.833333333333333,0,21.558
3.0,0,21.892
3.1666666666666665,0,21.855
3.333333333333333,0,21.855
3.5,0,22.004
3.6666666666666665,0,22.189
3.833333333333333,0,22.041
4.0,0,21.781
4.166666666666666,0,22.152
4.333333333333333,0,22.374
4.5,0,21.446
4.666666666666666,0,21.781
4.833333333333333,0,21.52
0.0,0,139.192
0.16666666666666666,0,137.876
0.3333333333333333,0,129.615
0.5,0,115.276
0.6666666666666666,0,96.8
0.8333333333333333,0,76.296
1.0,0,57.098
1.1666666666666665,0,41.965
1.3333333333333333,0,31.871
1.5,0,26.669
1.6666666666666665,0,23.553
1.8333333333333333,0,23.406
2.0,0,22.337
2.1666666666666665,0,21.818
2.333333333333333,0,21.147
2.5,0,21.147
2.6666666666666665,0,21.966
2.833333333333333,0,21.706
3.0,0,21.966
3.1666666666666665,0,21.259
3.333333333333333,0,22.226
3.5,0,21.929
3.6666666666666665,0,22.078
3.833333333333333,0,21.706
4.0,0,21.334
4.166666666666666,0,21.669
4.333333333333333,0,21.818
4.5,0,20.961
4.666666666666666,0,21.371
4.833333333333333,0,21.259
