Distance_cm,Time_0_s,Time_5_s,Time_15_s,Time_20_s,Time_30_s,Time_60_s
0.0,26.2727185328646,115.25619440901036,140.3284942211778,144.44312930200402,148.84965285225775,153.60249460683823
0.1,26.2727185328646,115.25619440901036,140.3284942211778,144.44312930200402,148.84965285225775,153.60249460683823
0.2,26.139858453444457,109.01661075470662,133.30839247326026,137.34871553854262,141.69560922056343,146.4090871668497
0.30000000000000004,25.947511980931317,98.00005694919399,120.75056995834214,124.63810125726582,128.8595678030036,133.48619992313292
0.4,25.73151224657625,84.54446579133933,105.15598334097207,108.82270239601391,112.86025575192514,117.3569294747231
0.5,25.524563331672805,70.74236979279313,88.81805064362045,92.20880984213748,96.01254247170432,100.340535241248
0.6000000000000001,25.349437402689453,58.17810576730139,73.53352751767204,76.60806909345621,80.13813056186251,84.26379180270476
0.7000000000000001,25.216295569511153,47.77584381664565,60.42225786484391,63.156077438596384,66.38361306610835,70.27897141536718
0.8,25.124471381624407,39.83271696938295,49.939239195677395,52.32324425256255,55.23068427672058,58.873868542709104
0.9,25.066675469814832,34.18309142981708,42.02789863355977,44.06699191892554,46.64769145517165,50.023119383681525
1.0,25.033338575914144,30.40600036591261,36.32639866220616,38.037238287299004,40.294543807845685,43.39287020513382
1.1,25.015456626771964,28.002155811590907,32.35103985791876,33.75929117926605,35.70515803263399,38.5229967087627
1.2000000000000002,25.00116024591999,26.501502706424244,29.614472430318195,30.751876901274592,32.40518903049326,34.94463861325035
1.3,25.000634138731723,25.75146054226428,27.925773468203282,28.827325592369824,30.21207507486615,32.480088975272274
1.4000000000000001,25.00062503427095,25.380686733297622,26.864947382907626,27.566405989616072,28.70987924929242,30.717525647996027
1.5,25.000624828995456,25.201497623535353,26.193718224640627,26.729597939745105,27.660691675735947,29.422350839399513
1.6,25.00062482596031,25.1174418117002,25.768723617987913,26.170831196213634,26.91858921186318,28.451133320596906
1.7000000000000002,25.000624825909725,25.07935427595516,25.500660695068987,25.797170286213206,26.38959752125828,27.711593215840992
1.8,25.000624825909195,25.062739683625416,25.332775900325217,25.54778447568373,26.01096107370706,27.14192794266916
1.9000000000000001,25.000624825909192,25.055778914207426,25.228632468633933,25.382104189668524,25.739593725646188,26.699343806557494
2.0,25.000624825909192,25.052982583294664,25.164767010677263,25.272762168073164,25.545286273771985,26.35336115338029
2.1,25.000624825909192,25.051906479252537,25.1261071202587,25.2011937429346,25.40653107409502,26.081745039609096
2.2,25.000624825909192,25.051509980521296,25.10303449512748,25.154793934818095,25.307854410644723,25.8679448739014
2.3000000000000003,25.000624825909192,25.051370114257438,25.089471448528435,25.125028224032214,25.238052644610057,25.699433098129735
2.4000000000000004,25.000624825909192,25.05132286800198,25.0816246492234,25.10615136211815,25.188990342941484,25.566596600205493
2.5,25.000624825909192,25.051307577871732,25.077160121322905,25.094327270557027,25.154760270284672,25.461977721176932
2.6,25.000624825909192,25.051302834045487,25.074664510878105,25.087020721235497,25.131084243422084,25.37974222097698
2.7,25.000624825909192,25.051301422058295,25.07329693091366,25.082576743899388,25.114879307827863,25.31529822501636
2.8000000000000003,25.000624825909192,25.051301018993804,25.07256720707129,25.079931243739473,25.103940536792038,25.265017970447882
2.9000000000000004,25.000624825909192,25.05130091058617,25.07219728374554,25.078413853785495,25.09670804613706,25.226031159663
3.0,25.000624825909192,25.051300891299196,25.072036835522987,25.07761573108525,25.092096011426907,25.196069368823363
3.1,25.000624825909192,25.05130092244353,25.07201401692119,25.077303103904725,25.08936808100121,25.173347791837916
3.2,25.000624825909192,25.051301063297732,25.07210917167275,25.077363177588147,25.088048047964975,25.15647511729557
3.3000000000000003,25.000624825909192,25.051301568747803,25.0723441454291,25.077773282128447,25.08785784178646,25.144385447643455
3.4000000000000004,25.000624825909192,25.05130328701643,25.072783275601935,25.078587406068586,25.08867737068863,25.136288466330047
3.5,25.000624825909192,25.05130887143204,25.073544695425362,25.079936905293977,25.090522878746892,25.131635968643184
3.6,25.000624825909192,25.051326211422307,25.074822755468965,25.08204458503158,25.0935426269439,25.130104778912536
3.7,25.000624825909192,25.051377587297882,25.076924652146555,25.08525400207188,25.098031291903485,25.131598433269914
3.8000000000000003,25.000624825909192,25.051522663990575,25.080327489345763,25.090079435878557,25.10446816312242,25.136273498008133
3.9000000000000004,25.000624825909192,25.051912734636375,25.08576722611345,25.097287765635805,25.113590196923802,25.144602227030404
4.0,25.000624825909192,25.05291071998912,25.094380614789493,25.108033787950262,25.126521543654533,25.157493756355997
4.1000000000000005,25.000624825909192,25.055340135632502,25.107939974796945,25.124089961232592,25.145000946369567,25.176515882036448
4.2,25.000624825909192,25.06097127796686,25.129258288730583,25.14824997526681,25.17178728259942,25.204298644030647
4.3,25.000624825909192,25.073424327876957,25.162920628051552,25.185064991755418,25.211403758426677,25.245281955817756
4.4,25.000624825922287,25.099802549815713,25.21667107339859,25.24224605659106,25.271557583681254,25.307147692914405
4.5,25.000624826760276,25.153693220553436,25.30419892040149,25.33348426292864,25.365994116528796,25.4037033948712
4.6000000000000005,25.000624919793136,25.261166254120734,25.451217122875914,25.484599812992556,25.52071582781387,25.56116905451792
4.7,25.000627490403225,25.473713149270825,25.709236429380542,25.747464491504147,25.788055306314668,25.832405361140623
4.800000000000001,25.001015091583575,25.936143850230543,26.229018739243717,26.27423835299463,26.32172631374369,26.37282220461895
4.9,25.001015091583575,25.936143850230543,26.229018739243717,26.27423835299463,26.32172631374369,26.37282220461895
