time (s),change in max temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,3.6773124999999993,14.0,14.0
5,62.7166640625,0.8333333333333334,8.833333333333334
10,82.170328125,0.8333333333333334,6.5
15,93.59385156249999,0.6666666666666666,9.833333333333334
20,101.94003125,0.6666666666666666,10.5
30,111.26514062499999,0.6666666666666666,10.333333333333334
60,134.8427734375,1.1666666666666667,4.166666666666667
90,142.7610234375,1.1666666666666667,6.333333333333333
120,152.30046093750002,1.1666666666666667,6.5
150,155.25984375,1.0,6.333333333333333
180,157.473453125,0.8333333333333334,6.333333333333333
210,161.94396875,1.1666666666666667,2.0
240,163.71597656249997,1.1666666666666667,6.666666666666667
270,164.6519140625,1.1666666666666667,2.0
300,167.876484375,1.1666666666666667,2.1666666666666665
