Time (s),Max Temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,19.607,3.0,3.0
5,22.596,6.666666666666667,9.0
10,22.485,4.666666666666667,4.666666666666667
15,23.369,3.1666666666666665,4.666666666666667
20,23.846,6.5,3.5
30,24.902,1.0,4.333333333333333
60,27.917,5.0,4.166666666666667
90,30.797,4.5,7.666666666666667
120,34.13,4.0,10.166666666666666
150,36.988,6.0,13.333333333333334
180,39.267,5.0,14.333333333333334
