,Time_s,Position
0,0,99
1,1,95
2,2,94
3,3,93
4,4,93
5,5,92
6,10,90
7,15,89
8,20,88
9,30,87
10,40,86
11,50,85
12,60,85
13,70,84
14,80,84
15,85,84
16,90,84
