Sample_Type,View,X_cm,Y_cm,Time_s,Temperature_C
1e-9_70W,Side,0.0,0.0,0,27.954315186
1e-9_70W,Top,0.7333333333333334,0.0,0,17.126
1e-9_70W,Side,0.0,0.4375,0,29.471759796
1e-9_70W,Side,0.0,0.45,0,29.413013458
1e-9_70W,Side,0.0,0.4625,0,29.452180862
1e-9_70W,Side,0.0,0.47500000000000003,0,29.364034653
1e-9_70W,Side,0.0,0.48750000000000004,0,29.315036774
1e-9_70W,Top,0.0,0.0,0,17.511
1e-9_70W,Top,0.03333333333333333,0.0,0,16.702
1e-9_70W,Top,0.06666666666666667,0.0,0,16.895
1e-9_70W,Top,0.1,0.0,0,17.011
1e-9_70W,Top,0.13333333333333333,0.0,0,16.856
1e-9_70W,Top,0.16666666666666666,0.0,0,16.934
1e-9_70W,Top,0.2,0.0,0,16.934
1e-9_70W,Top,0.23333333333333334,0.0,0,17.088
1e-9_70W,Top,0.26666666666666666,0.0,0,16.934
1e-9_70W,Top,0.3,0.0,0,16.972
1e-9_70W,Top,0.3333333333333333,0.0,0,16.934
1e-9_70W,Top,0.3666666666666667,0.0,0,17.126
1e-9_70W,Top,0.4,0.0,0,16.934
1e-9_70W,Top,0.43333333333333335,0.0,0,17.049
1e-9_70W,Top,0.4666666666666667,0.0,0,16.934
1e-9_70W,Top,0.5,0.0,0,17.011
1e-9_70W,Top,0.5333333333333333,0.0,0,17.049
1e-9_70W,Top,0.5666666666666667,0.0,0,17.165
1e-9_70W,Top,0.6,0.0,0,17.049
1e-9_70W,Top,0.6333333333333333,0.0,0,17.126
1e-9_70W,Top,0.6666666666666666,0.0,0,17.319
1e-9_70W,Top,0.8,0.0,0,16.972
1e-9_70W,Top,0.7666666666666667,0.0,0,17.126
1e-9_70W,Side,0.0,0.41250000000000003,0,29.618495941
1e-9_70W,Side,0.0,0.4,0,29.628271103
1e-9_70W,Side,0.0,0.42500000000000004,0,29.530477524
1e-9_70W,Side,0.0,0.375,0,29.569604874
1e-9_70W,Side,0.0,0.17500000000000002,0,28.863260269
1e-9_70W,Side,0.0,0.1625,0,28.754961014
1e-9_70W,Side,0.0,0.15000000000000002,0,28.636701584
1e-9_70W,Side,0.0,0.1375,0,28.607116699
1e-9_70W,Side,0.0,0.125,0,28.508447647
1e-9_70W,Side,0.0,0.1125,0,28.300964355
1e-9_70W,Side,0.0,0.1875,0,29.020601273
1e-9_70W,Side,0.0,0.1,0,28.192131042
1e-9_70W,Side,0.0,0.07500000000000001,0,28.043554306
1e-9_70W,Side,0.0,0.0625,0,27.884859085
1e-9_70W,Side,0.0,0.05,0,27.76568985
1e-9_70W,Side,0.0,0.037500000000000006,0,28.023729324
1e-9_70W,Side,0.0,0.025,0,28.112915039
1e-9_70W,Side,0.0,0.0125,0,27.91463089
1e-9_70W,Side,0.0,0.08750000000000001,0,28.241613388
1e-9_70W,Side,0.0,0.2,0,28.863260269
1e-9_70W,Side,0.0,0.21250000000000002,0,29.148283005
1e-9_70W,Side,0.0,0.225,0,29.266016006
1e-9_70W,Side,0.0,0.36250000000000004,0,29.501121521
1e-9_70W,Side,0.0,0.35000000000000003,0,29.745513916
1e-9_70W,Side,0.0,0.3375,0,29.657592773
1e-9_70W,Side,0.0,0.325,0,29.442390442
1e-9_70W,Side,0.0,0.3125,0,29.501121521
1e-9_70W,Side,0.0,0.30000000000000004,0,29.57938385
1e-9_70W,Side,0.0,0.3875,0,29.598941803
1e-9_70W,Top,0.7,0.0,0,16.972
1e-9_70W,Side,0.0,0.28750000000000003,0,29.432600021
1e-9_70W,Side,0.0,0.275,0,29.393424988
1e-9_70W,Side,0.0,0.2625,0,29.285627365
1e-9_70W,Side,0.0,0.25,0,29.167913437
1e-9_70W,Side,0.0,0.23750000000000002,0,29.187540054
1e-9_70W,Side,0.0,0.375,5,25.962909698
1e-9_70W,Side,0.0,0.3375,5,26.033559799
1e-9_70W,Side,0.0,0.35000000000000003,5,26.204957962
1e-9_70W,Side,0.0,0.36250000000000004,5,26.053739548
1e-9_70W,Side,0.0,0.1125,5,25.912416458
1e-9_70W,Side,0.0,0.3125,5,25.821470261
1e-9_70W,Side,0.0,0.025,5,27.526979446
1e-9_70W,Side,0.0,0.037500000000000006,5,26.61725235
1e-9_70W,Side,0.0,0.05,5,26.255319595
