Sample_Type,View,X_cm,Y_cm,Time_s,Temperature_C
1e-4_5W,Side,0.0,0.0,0,25.030151367
1e-4_5W,Top,0.7333333333333334,0.0,0,25.156
1e-4_5W,Side,0.0,0.4375,0,24.386857986
1e-4_5W,Side,0.0,0.45,0,24.622146606
1e-4_5W,Side,0.0,0.4625,0,24.693655014
1e-4_5W,Side,0.0,0.47500000000000003,0,24.632364273
1e-4_5W,Side,0.0,0.48750000000000004,0,24.581262589
1e-4_5W,Top,0.0,0.0,0,25.229
1e-4_5W,Top,0.03333333333333333,0.0,0,24.793
1e-4_5W,Top,0.06666666666666667,0.0,0,25.229
1e-4_5W,Top,0.1,0.0,0,25.951
1e-4_5W,Top,0.13333333333333333,0.0,0,25.482
1e-4_5W,Top,0.16666666666666666,0.0,0,25.301
1e-4_5W,Top,0.2,0.0,0,24.721
1e-4_5W,Top,0.23333333333333334,0.0,0,25.409
1e-4_5W,Top,0.26666666666666666,0.0,0,25.12
1e-4_5W,Top,0.3,0.0,0,25.734
1e-4_5W,Top,0.3333333333333333,0.0,0,25.554
1e-4_5W,Top,0.3666666666666667,0.0,0,25.734
1e-4_5W,Top,0.4,0.0,0,25.301
1e-4_5W,Top,0.43333333333333335,0.0,0,24.721
1e-4_5W,Top,0.4666666666666667,0.0,0,25.047
1e-4_5W,Top,0.5,0.0,0,25.265
1e-4_5W,Top,0.5333333333333333,0.0,0,25.409
1e-4_5W,Top,0.5666666666666667,0.0,0,25.084
1e-4_5W,Top,0.6,0.0,0,25.337
1e-4_5W,Top,0.6333333333333333,0.0,0,25.12
1e-4_5W,Top,0.6666666666666666,0.0,0,24.902
1e-4_5W,Top,0.8,0.0,0,25.047
1e-4_5W,Top,0.7666666666666667,0.0,0,25.047
1e-4_5W,Side,0.0,0.41250000000000003,0,24.47898674
1e-4_5W,Side,0.0,0.4,0,24.560813904
1e-4_5W,Side,0.0,0.42500000000000004,0,24.315149307
1e-4_5W,Side,0.0,0.375,0,24.59148407
1e-4_5W,Side,0.0,0.17500000000000002,0,24.12027359
1e-4_5W,Side,0.0,0.1625,0,24.274150848
1e-4_5W,Side,0.0,0.15000000000000002,0,24.376617432
1e-4_5W,Side,0.0,0.1375,0,24.468753815
1e-4_5W,Side,0.0,0.125,0,24.335641861
1e-4_5W,Side,0.0,0.1125,0,24.458520889
1e-4_5W,Side,0.0,0.1875,0,24.171590805
1e-4_5W,Side,0.0,0.1,0,24.509679794
1e-4_5W,Side,0.0,0.07500000000000001,0,24.540363312
1e-4_5W,Side,0.0,0.0625,0,24.458520889
1e-4_5W,Side,0.0,0.05,0,24.489219666
1e-4_5W,Side,0.0,0.037500000000000006,0,24.663013458
1e-4_5W,Side,0.0,0.025,0,24.7447052
1e-4_5W,Side,0.0,0.0125,0,24.928291321
1e-4_5W,Side,0.0,0.08750000000000001,0,24.550590515
1e-4_5W,Side,0.0,0.2,0,24.304901123
1e-4_5W,Side,0.0,0.21250000000000002,0,24.284402847
1e-4_5W,Side,0.0,0.225,0,24.366374969
1e-4_5W,Side,0.0,0.36250000000000004,0,24.622146606
